nodenumber,int-01_acu_33321.dat,int-01_acu_33331.dat,int-01_acu_33341.dat,int-01_acu_33351.dat,int-01_acu_33361.dat,int-01_acu_33371.dat,int-01_acu_33381.dat,int-01_acu_33391.dat,int-01_acu_33401.dat,int-01_acu_33411.dat,int-01_acu_33421.dat,int-01_acu_33431.dat,int-01_acu_33441.dat,int-01_acu_33451.dat,int-01_acu_33461.dat,int-01_acu_33471.dat,int-01_acu_33481.dat,int-01_acu_33491.dat,int-01_acu_33501.dat,int-01_acu_33511.dat,int-01_acu_33521.dat,int-01_acu_33531.dat,int-01_acu_33541.dat,int-01_acu_33551.dat,int-01_acu_33561.dat,int-01_acu_33571.dat,int-01_acu_33581.dat,int-01_acu_33591.dat,int-01_acu_33601.dat,int-01_acu_33611.dat,int-01_acu_33621.dat,int-01_acu_33631.dat,int-01_acu_33641.dat,int-01_acu_33651.dat,int-01_acu_33661.dat,int-01_acu_33671.dat,int-01_acu_33681.dat,int-01_acu_33691.dat,int-01_acu_33701.dat,int-01_acu_33711.dat,int-01_acu_33721.dat,int-01_acu_33731.dat,int-01_acu_33741.dat,int-01_acu_33751.dat,int-01_acu_33761.dat,int-01_acu_33771.dat,int-01_acu_33781.dat,int-01_acu_33791.dat,int-01_acu_33801.dat,int-01_acu_33811.dat
11,(27.68983599287452+0j),(5515.7043838164755-7680.8151254208005j),(-6991.5317441494535+7252.136445381557j),(4513.21369634904+344.51990485507184j),(328.10152021387216+7759.694287325842j),(-7977.873356752874-3991.8854284195268j),(-9032.980107642601+7832.970385653522j),(-2175.3452149242958-1338.3777696731113j),(4023.4536922931266+2035.005697348236j),(-2973.9658566759817+13588.810833594089j),(2927.27957840832+3807.964118344769j),(-13846.928073568388+11415.21442292017j),(6983.102418158607+2588.5972853785033j),(2172.4555802089444+1434.4181947468453j),(1723.7244523107306+1937.9260098727937j),(-4419.5585185142745-4381.975424872741j),(4286.182865002891-5844.061782930591j),(515.3201187844002-1843.5524295587404j),(-3353.6815191394517+2253.7167365422297j),(-2370.047523067309-4232.998387934996j),(-12319.68425432693+4072.909695942092j),(3337.795966911924+270.4291589335319j),(-1270.7632368967481+64.27697558905393j),(-4355.551335851414+2028.6866561730594j),(3227.8277704803954+1236.5216598876264j),(344.026767273677-1238.6567867432123j),(2728.0216056884738-4425.084390020434j),(-164.3066525917585-2225.707037951417j),(1686.503740442045-3444.048736656576j),(2074.4624857866684-3529.8507686352923j),(569.8235963571119+2185.3517850136877j),(-1264.5438464373037-2068.119734081174j),(-2301.811923443113-1640.216868447142j),(-943.1182997243975+7416.391416970437j),(1906.4062212025444+236.1679164333475j),(222.6679134637464+770.2919051891965j),(-3931.93450545492-7856.363069946829j),(1575.0828901917562-3892.329418095859j),(7725.413121489077-2625.4577847939827j),(-1063.0184750806698-1132.678338491839j),(3625.33070764517+387.7419294850591j),(-3835.5960047155995-482.84079104340043j),(6636.566676627083-1390.0648905987234j),(1852.99042616607+962.9298903712761j),(3811.7254463881377+2604.878317453644j),(1252.2872139128804+1109.3024337056354j),(-1476.9031528718915+1658.9045807647376j),(-2503.213552544046-4091.3001166432946j),(6207.954865059271-1511.2822734496297j),(-6193.021452762292+3055.0153122472593j)
12,(27.298323009921006+0j),(5522.389251116356-7679.403292838273j),(-6988.619536954635+7252.017952280128j),(4508.354653311314+340.49777291063765j),(345.1686210258431+7754.456080649502j),(-7976.146977791864-4002.2096070167017j),(-9022.024589690553+7835.061398586526j),(-2172.322028847438-1338.5538189457802j),(4024.712426569121+2027.7454410662529j),(-2961.6204663067533+13596.174824922273j),(2924.8425311695846+3798.2292167979413j),(-13835.667948704162+11413.200107647059j),(6979.893759740065+2585.495978795693j),(2180.9401806019196+1428.4910875253054j),(1727.9815430157214+1945.0749912639535j),(-4416.297177250107-4375.627369385744j),(4278.0385591399-5848.183820021817j),(510.26651327265034-1842.744661896486j),(-3344.7457960647153+2258.751181388783j),(-2376.5539284679835-4231.578140150211j),(-12312.738694975185+4071.47838270599j),(3337.8787472357585+263.363497668254j),(-1264.4682337081824+59.3045977589901j),(-4353.724784227146+2022.6318463811117j),(3226.240761889252+1231.6993329739814j),(338.64113861912983-1241.299103229119j),(2728.257769360144-4425.615111299823j),(-165.84769974663402-2220.420247006686j),(1680.901124927316-3443.7882686695257j),(2073.9672387612068-3529.9711725182747j),(572.4076351791216+2183.6970886634763j),(-1262.6870971178184-2067.201668530941j),(-2292.7847437290725-1649.2780173022977j),(-932.5936851220374+7410.3873769888605j),(1904.7338275794555+229.9115201080679j),(230.18013610298132+768.31776020027j),(-3935.427258988046-7841.896835248776j),(1576.3413137810562-3892.1862311236714j),(7714.0122184882985-2626.723286953022j),(-1063.2467695950468-1125.4955013116044j),(3627.7141552386024+384.6742925341795j),(-3841.9940911054073-482.5611268606225j),(6628.679864498538-1392.4019130290776j),(1856.4162704707169+960.2687099847436j),(3814.292710095639+2590.9615625391434j),(1258.4141038142989+1105.391051740782j),(-1473.840544452018+1653.8087022271466j),(-2501.023816019572-4091.7388256237546j),(6213.148275809899-1524.8759981215217j),(-6183.168211915551+3063.7752709170413j)
13,(26.94270097014727+0j),(5532.37258546941-7677.462814096596j),(-6985.375153344632+7252.09486675215j),(4503.0780275702955+334.1450163907315j),(363.3123937380077+7748.6669923808695j),(-7973.488179320287-4013.074450452512j),(-9009.967114649473+7833.952732381094j),(-2166.091636447141-1335.3507503940245j),(4026.539938437314+2019.864756893159j),(-2946.6524251544906+13602.506615014798j),(2919.6490308063385+3783.9495759939837j),(-13823.22432288132+11411.032530440414j),(6977.0530001539+2584.203925413073j),(2190.562011364905+1418.4482873805932j),(1732.1002289305961+1951.4662998185395j),(-4410.393538131307-4371.020113423426j),(4271.157186707625-5850.598609630022j),(503.7364862487558-1844.7830351414927j),(-3333.8246142761736+2264.1654975708234j),(-2386.355627595928-4230.1353979081305j),(-12308.050098315882+4067.134352309192j),(3340.2509500727956+257.0096696234062j),(-1258.3698788175623+54.35850452797839j),(-4353.250171010129+2014.669302238561j),(3223.8831115059793+1227.7512284452469j),(333.7573273351048-1242.8182152215018j),(2728.646511265966-4426.964088600407j),(-166.84839772455533-2216.176560481677j),(1674.7812123542571-3442.1751328633327j),(2071.0284220294566-3528.824530610145j),(573.2195459800425+2181.699287427832j),(-1260.7171045236173-2067.5330421073486j),(-2285.2668516305207-1661.6941314847895j),(-923.4082032381887+7405.75284547212j),(1903.8047024285988+222.95927274305882j),(240.04250853546492+764.6877233390462j),(-3937.1063932102743-7825.012887459896j),(1576.2933071783095-3888.519305489606j),(7700.641859548043-2628.3045554200417j),(-1062.295777199775-1116.8212996810694j),(3630.4052886389936+380.35304825626815j),(-3847.3853879432713-482.3580092108573j),(6619.543198299269-1395.6128185432j),(1859.7815733194352+960.2587727913748j),(3818.26957422613+2576.2786257784946j),(1265.451562325903+1097.4445187470549j),(-1473.0016583937481+1649.0403862034068j),(-2500.2979469542024-4090.2807779555524j),(6220.337360915942-1541.1744782057622j),(-6172.395021844492+3072.419812382051j)
14,(27.820521013257988+0j),(5536.290774897955-7678.324627232738j),(-6983.364845663822+7248.220463570654j),(4499.116612004925+327.135590445316j),(376.501805470232+7744.206097163864j),(-7974.177048253352-4020.613194670185j),(-9000.138431805635+7836.820037038652j),(-2160.8524112660725-1334.1560773447022j),(4023.837336596439+2014.3011658022613j),(-2935.0943862470176+13608.015687938869j),(2918.5290087485637+3773.2422746650414j),(-13815.798754853444+11410.548518732863j),(6975.473198663974+2583.426464254475j),(2196.5659047996487+1413.5961167034957j),(1733.5791833293824+1955.6928901511765j),(-4410.9157653901675-4368.063535267043j),(4264.98139139401-5854.460033151113j),(496.7268682289795-1843.9239549903248j),(-3324.2340079305045+2269.816180106955j),(-2394.1999081029307-4229.150096963444j),(-12303.268836520889+4063.4902484039358j),(3343.233134551933+250.8979952817856j),(-1252.6392710698965+45.93302013106137j),(-4348.414240341718+2009.105119585221j),(3225.7620415908987+1224.0067370504698j),(327.34624338052015-1243.3690642916442j),(2727.6676682890675-4427.769962984021j),(-166.00651600963096-2213.390238947447j),(1668.1370532097815-3441.6397894576767j),(2070.4823111393907-3529.4213522973396j),(571.0581392416043+2180.8453956267153j),(-1261.3874639175663-2066.682922867438j),(-2280.054619120405-1668.608258234135j),(-912.6858100276158+7399.9547405274825j),(1902.3077769278768+216.54921170275358j),(248.44390422933463+762.0315976309282j),(-3940.477342423767-7812.722132389749j),(1575.479069505729-3887.3026263149777j),(7693.9272062871805-2628.887598912631j),(-1060.9495326347846-1111.3828294377201j),(3635.8429528029205+377.09117195829003j),(-3850.775057940953-481.6452201115557j),(6612.415648221953-1400.0528248987648j),(1862.0775686313566+958.8657319551536j),(3820.660072574268+2565.430973961935j),(1270.0681907252376+1092.0227234064387j),(-1468.910144634233+1645.3001935268687j),(-2499.692226483957-4088.6518658515797j),(6223.15323149757-1552.523714068016j),(-6162.411636943194+3081.4094174369884j)
15,(27.697826006930924+0j),(5546.453088597684-7676.207473447134j),(-6983.458522037996+7248.976874955743j),(4495.258792394968+322.53076696262883j),(395.0608745862126+7737.463815320943j),(-7968.544564256306-4039.564887572099j),(-8987.148710578374+7836.446486207582j),(-2156.6188272886666-1338.4498933110733j),(4022.602697922935+2004.939153506382j),(-2923.9630373953014+13615.797568057407j),(2916.6242306408612+3766.2981375964528j),(-13803.09679862027+11404.679127901783j),(6969.58483798107+2578.681448434257j),(2204.6237976296457+1401.458737708245j),(1734.0367804960053+1964.7186762664114j),(-4402.838192834317-4359.891903065736j),(4264.191452664182-5858.5303641858945j),(490.940305605095-1845.9638318696243j),(-3319.4935697761175+2271.040793783364j),(-2405.2021043436403-4227.481416837516j),(-12302.403055129742+4055.8702540280756j),(3339.7086185582593+240.74308394297674j),(-1249.8075439863426+38.96995386976568j),(-4350.536579278698+1994.1467721426852j),(3227.6475841111514+1223.6112406272941j),(316.05341034904166-1246.7177216781733j),(2731.430737607323-4428.074613465932j),(-166.7182600295735-2206.778799076391j),(1665.03969267871-3438.920451327336j),(2067.8191440409273-3528.405391392203j),(573.8988033467392+2175.148619823473j),(-1257.4214304089014-2064.0468344607693j),(-2274.776445903175-1681.5932538534864j),(-904.0344926112698+7394.001131207257j),(1896.3621085339432+211.96187830442773j),(255.02219574947046+758.3974338001478j),(-3946.6527877440317-7797.130325348198j),(1582.9108849429263-3884.747092429104j),(7682.531560701447-2626.0699247933126j),(-1056.0509933698893-1102.881983782077j),(3637.505713967099+369.77242062510106j),(-3857.992817626705-484.54939146391723j),(6604.202110162044-1395.2110542532193j),(1861.880445094862+955.6807468536401j),(3816.6618360627776+2551.8224603781373j),(1277.0963404128322+1079.4751205535072j),(-1470.9255077100202+1637.434299281864j),(-2495.395986498566-4090.3645264684887j),(6236.6923317499695-1564.1610625197936j),(-6149.418253175618+3091.400514494003j)
16,(26.548388049383362+0j),(5554.786631283737-7678.714020315218j),(-6980.978139329092+7246.729083902159j),(4490.474011272032+320.3490515991807j),(407.03691079228264+7729.443327691493j),(-7966.471214438074-4049.2299751008004j),(-8976.636449476955+7836.269897871578j),(-2151.0537355843067-1335.9669209672118j),(4021.2846453369048+1997.796693479156j),(-2911.294465088936+13619.944459356193j),(2911.8372469379756+3756.0973239045497j),(-13794.126714908989+11399.453484913198j),(6964.699148118763+2576.433885127292j),(2208.40611997841+1391.193259298017j),(1734.1872660104373+1967.3992563777626j),(-4396.192627556954-4357.009858343942j),(4261.67494658202-5859.404432485426j),(485.7444611982652-1846.9622694076847j),(-3311.7015030412704+2271.5792128021767j),(-2412.6512933344993-4223.740185514055j),(-12302.338240943809+4049.6624985756985j),(3336.4262440704456+234.52201274899323j),(-1246.7709267827922+30.742633569478045j),(-4350.332139073683+1984.5894946490603j),(3229.1145871864583+1223.9982427757504j),(310.6964114909905-1247.1403253528074j),(2734.3144171363424-4431.464683056303j),(-165.38844942825793-2199.8290850212097j),(1660.201353161825-3436.724525162797j),(2065.734611151863-3526.253605315632j),(572.096894001216+2171.18246302181j),(-1257.195287763465-2065.776362004872j),(-2273.351481400172-1692.8258029659978j),(-894.5559260061943+7389.086311919208j),(1891.4400744244729+210.12268697485882j),(264.0938047128672+754.649919844724j),(-3948.113456275769-7787.078331134899j),(1586.6719913067177-3882.5474013816474j),(7677.01536254595-2626.766525586688j),(-1051.6133331593653-1097.5318714116697j),(3639.6337702188534+363.4957943333636j),(-3861.590823687042-484.6185410048015j),(6602.045521470649-1392.7770899240672j),(1863.1464688270657+954.2565407965965j),(3816.202369036087+2539.3606406720796j),(1283.1129611366334+1070.3824474470084j),(-1471.7578550203393+1632.6931227086839j),(-2494.7112379133864-4088.724491520488j),(6244.949817920405-1575.8734166936702j),(-6139.454848567711+3098.4077211546037j)
17,(25.988684012438426+0j),(5558.656148028471-7682.151371580827j),(-6978.638126468808+7243.163345187506j),(4487.7758818532675+317.86160530704757j),(417.09375053456034+7721.14526044739j),(-7963.92031983024-4062.260642601471j),(-8969.175692900339+7835.680406889666j),(-2146.8929090152974-1336.7327121517012j),(4015.1530202653003+1995.4795243990493j),(-2905.1020162260447+13621.4645515271j),(2910.4186728685554+3748.106073295692j),(-13788.421068006019+11394.62489338567j),(6958.759326369961+2573.480955576629j),(2211.7927373513076+1387.4459243025242j),(1731.7870625259675+1971.8359682485884j),(-4394.994077412264-4356.493303789551j),(4259.799543394163-5861.838307299055j),(480.4625885036756-1849.1847612060587j),(-3306.716786364313+2274.7672851912366j),(-2420.651126115415-4223.3575004196155j),(-12305.491217025661+4043.4773512534994j),(3336.969623062667+227.57788121652453j),(-1238.8866724446193+20.34988855354453j),(-4346.0601474594+1977.3485472402442j),(3232.1843836749877+1224.6068980607004j),(299.10939356020776-1248.1767219095648j),(2739.686153681155-4430.781557103632j),(-163.10888902180463-2197.6562982014852j),(1655.0326613025982-3435.789812674122j),(2066.840036243405-3525.8930037974305j),(570.2407736091839+2164.1001896429134j),(-1258.0529360221892-2062.136567928768j),(-2270.6907569575505-1701.577721238351j),(-887.3463048678566+7386.731804292749j),(1884.2861865578766+210.07869605291478j),(269.27115352431+751.589555027893j),(-3951.5366137080796-7781.616851193732j),(1591.591808050151-3880.511064518484j),(7674.237413967446-2624.4874566550475j),(-1045.6227885909354-1092.530534171494j),(3641.133190082891+356.457807210582j),(-3863.5765294430803-485.6989852918984j),(6601.1783545609715-1390.0945890841901j),(1861.1735764916677+955.2719643116733j),(3811.4882171393533+2531.143018051847j),(1288.8102886126412+1062.5246509744088j),(-1471.2512161560744+1629.8123265073518j),(-2495.367706180993-4089.5487009586313j),(6253.261236954512-1583.6532999519584j),(-6130.545812614824+3105.1836940328185j)
18,(26.31105200918688+0j),(5564.4319871687385-7683.211327181524j),(-6979.8141392368225+7242.736106439059j),(4487.778180614002+316.4916859049981j),(424.1095449611724+7714.097972030742j),(-7961.663076972173-4069.1202592195004j),(-8965.056606453965+7836.228537249743j),(-2140.611981262544-1337.044536786367j),(4015.731602222465+1990.8494473238209j),(-2895.6605960532474+13625.645348656872j),(2911.713402552765+3741.9144811084916j),(-13782.386556963156+11392.977341868747j),(6957.275688650863+2572.3256032863937j),(2212.0885670959706+1380.759365813542j),(1732.7944214659083+1972.8655439581448j),(-4390.112461754448-4357.216242919951j),(4263.50550553956-5862.326901841922j),(475.52121744326826-1850.3264987944872j),(-3302.8714805989466+2275.170821845763j),(-2425.312149918625-4219.425412273768j),(-12308.790878276901+4039.062435877556j),(3337.444484098409+225.64387438785957j),(-1236.7135640564488+13.59824773951436j),(-4343.079706096978+1970.0867262530487j),(3233.921913002598+1225.798038201303j),(292.72008865071916-1247.8478233782419j),(2746.430991223588-4431.872278680514j),(-161.10548804977785-2193.5195124690176j),(1654.4868486446894-3432.757548189378j),(2065.136581164694-3526.1998556013536j),(567.6163705029031+2162.2599083927967j),(-1256.8933224330206-2061.4610249640696j),(-2272.5745072588047-1707.979208407407j),(-881.8046596458272+7385.664893944386j),(1880.2450841880425+211.28720460718148j),(275.0272607319549+750.6562888653377j),(-3952.581754812668-7776.591056035441j),(1595.980201486325-3878.1769126660893j),(7675.955367759658-2624.570858923513j),(-1038.7970969127637-1090.2567369324395j),(3642.5982589017203+349.427423041909j),(-3865.251018867324-486.59471572389907j),(6603.348545683155-1387.888311849383j),(1862.156013311435+955.4216766313846j),(3809.6301400712982+2525.5053687416266j),(1293.1866855678338+1057.3312980667679j),(-1471.1002232414758+1629.0316451100289j),(-2496.186278520843-4089.599748583097j),(6260.919842431237-1589.5773546261034j),(-6122.15277637816+3109.422983054209j)
19,(26.499049022412947+0j),(5571.0562247808675-7686.832864467895j),(-6980.796320940393+7240.876468465089j),(4488.166567184323+317.260461621871j),(425.06892565484077+7705.941177483753j),(-7958.782304900666-4074.497829410878j),(-8960.37310559237+7835.921621842313j),(-2136.2587351139205-1336.3410989452943j),(4014.3249255343353+1987.922319752397j),(-2889.648682126649+13626.069946612795j),(2910.679535527034+3736.870407197166j),(-13778.823265437859+11389.620090976186j),(6956.947598059418+2571.3748779508087j),(2211.8527105143758+1375.4624490387164j),(1734.1184119304341+1970.6471427902702j),(-4387.694057487508-4357.532043858917j),(4269.063806458703-5860.346452505478j),(472.8075731349972-1850.953158424501j),(-3300.68904096148+2271.898748735774j),(-2428.056372120758-4214.6409658735665j),(-12312.355669103232+4035.5730406306j),(3336.4487481153474+224.10827289813108j),(-1235.7165004877295+5.855216713967888j),(-4342.175150441203+1965.5829611839708j),(3237.8178209265166+1229.8794506223528j),(286.92733626798974-1246.2505387067195j),(2755.0537467629533-4433.727314694504j),(-157.4194246418185-2191.5994079743045j),(1652.4277747026701-3431.3873111259745j),(2063.86995145314-3526.359502971949j),(564.7034236939685+2157.2877131169816j),(-1259.3128252266083-2061.3654792387033j),(-2276.1632661642116-1712.5023847434782j),(-876.089472093618+7384.95298735605j),(1876.417700793479+214.55840875370512j),(281.9507120054051+749.2497592556542j),(-3952.18154050089-7774.456379755887j),(1601.8630798815411-3876.2105849516784j),(7682.234415483036-2624.627943721518j),(-1030.741375088522-1089.5824206745806j),(3644.748691919617+345.4524200700212j),(-3866.907147640395-487.92976518126443j),(6609.414466101867-1385.8234522063053j),(1863.797825025527+956.4217527696649j),(3806.935034075941+2520.0667878134755j),(1296.8968418170293+1053.0643595948468j),(-1471.4317503306515+1629.9434560938203j),(-2496.408242938947-4088.1816575576927j),(6268.687638320564-1593.8845010695486j),(-6116.740201056644+3113.1542497940154j)
20,(26.738505041140115+0j),(5573.818706217546-7690.889379452316j),(-6979.558018382797+7239.240558944689j),(4489.6879168263295+320.27246783739724j),(425.0691208481356+7701.294330271119j),(-7954.390785722272-4077.945452460796j),(-8955.4722863686+7833.907713353895j),(-2130.879067740443-1335.216590279465j),(4012.5049830804414+1986.8668558756808j),(-2887.1202812916135+13626.082189168403j),(2913.072738214428+3733.6546440618617j),(-13777.939009376323+11387.940709888479j),(6955.91777321501+2568.897325626618j),(2209.477915250555+1371.0856200471355j),(1732.069037724344+1969.3687666051749j),(-4383.129632988278-4358.455423364414j),(4275.637926303074-5859.2101070347235j),(473.2823733642381-1854.8592036736886j),(-3298.5316249836073+2267.7919732967443j),(-2430.997396676693-4213.389518394735j),(-12318.141598424565+4032.593905209668j),(3336.347460201814+222.69334009104483j),(-1235.4674707643535+2.703448753315037j),(-4342.403058226933+1960.143611039314j),(3243.2925932611893+1234.4436788770406j),(282.7888281960645-1244.708127703431j),(2763.700504354945-4434.767556831717j),(-153.38415029141416-2192.8670944507003j),(1652.5668489842005-3428.7977457451457j),(2063.45240167969-3526.7601994648385j),(562.8082746263353+2151.168743077046j),(-1258.717519864231-2059.3757025999753j),(-2279.2859348572592-1715.4496086860713j),(-874.6051048386528+7383.456178707998j),(1874.302431501726+218.00107073584084j),(283.76833696917214+748.1832927192871j),(-3952.100299749971-7772.995533517897j),(1607.6487992603825-3875.707286176824j),(7688.50097412394-2624.823594755838j),(-1020.1031617668081-1088.769896168415j),(3645.2603774896183+338.17735680296573j),(-3865.5650867183253-489.981629536034j),(6615.96550063836-1382.1990384933697j),(1864.4077666065136+957.1467534766015j),(3804.8917037973556+2519.121105791066j),(1299.272909601309+1046.8816986083277j),(-1474.3209032717425+1632.37091790821j),(-2497.140218245536-4089.530124621412j),(6278.172921837311-1595.8099686626342j),(-6109.949632936394+3114.836310908133j)
21,(26.598651053252865+0j),(5572.673167996673-7694.087493709292j),(-6980.028517929008+7234.405184183068j),(4494.326209919782+322.08048322512246j),(414.25809266416405+7698.714780575207j),(-7955.327621558832-4071.2735621027564j),(-8955.235503438738+7835.753880989772j),(-2125.666728108463-1333.5120759683455j),(4010.606807194031+1987.5982714241757j),(-2881.024642551058+13620.903389157804j),(2916.7525659645207+3731.761088593268j),(-13775.995735621706+11388.300061798374j),(6959.167984944537+2567.505969715368j),(2199.0216240531317+1372.4078213352927j),(1729.4720007852175+1963.375919328326j),(-4382.745438632762-4363.050455520432j),(4280.42689557678-5856.260675050023j),(472.4565733282039-1856.1556353019805j),(-3299.798417521736+2261.781992351006j),(-2429.233544240904-4209.278872665647j),(-12321.007111266623+4032.5842677816263j),(3335.9133264313477+227.42705470025533j),(-1237.6565907544527-2.970282691364991j),(-4338.70389864295+1960.9365438477453j),(3244.791758232883+1240.895099559101j),(283.05006814818705-1238.4795836283713j),(2771.0033877491355-4436.7191144462695j),(-148.89290154049704-2194.867737687821j),(1653.5410491195385-3428.6302768326686j),(2066.1872181864946-3526.4137645580568j),(555.4413987956642+2149.0465824207868j),(-1259.4138143176206-2059.802470223679j),(-2286.7596179346037-1713.609379335185j),(-872.0121014580011+7385.350493110745j),(1873.8070652706972+226.14018694730197j),(285.3292610142944+749.2908083560773j),(-3946.369737606538-7778.91710120692j),(1607.628661939967-3875.266167628033j),(7703.537321929918-2626.586493630718j),(-1012.5098363824984-1092.567793844465j),(3645.9855730069053+335.2184896064124j),(-3861.800063055991-491.5062461147274j),(6627.6793841752005-1384.3119313526072j),(1865.233646450431+961.05163071767j),(3802.7316428851123+2522.7042052055267j),(1300.0481027001197+1047.9831795359528j),(-1470.7394267371249+1637.1842161876393j),(-2500.427040134418-4087.3062299933454j),(6283.6899878417935-1594.344692658485j),(-6108.7985506902905+3112.9750793004328j)
22,(26.092018996801386+0j),(5572.96058336208-7695.744612365212j),(-6980.996067807594+7234.942968937865j),(4495.236784705916+326.4194861708889j),(405.23260259644667+7694.724514399463j),(-7953.6895362064815-4067.830894153874j),(-8957.313605985375+7836.494468395256j),(-2122.5652406200084-1332.4071226461897j),(4008.5348240409285+1988.5756721319424j),(-2880.3721149387993+13618.77094394237j),(2917.7179476652946+3729.2211990873366j),(-13778.452080122515+11389.888394913807j),(6960.829047607143+2566.899999522183j),(2192.761270174257+1371.182176690184j),(1726.017462439167+1958.2812954248186j),(-4382.870151224377-4367.463624720191j),(4286.951209278258-5851.109823986303j),(475.7080880093206-1858.7108612619033j),(-3303.286040152672+2256.0472040473287j),(-2426.7645771691396-4205.5352300281575j),(-12326.008974711953+4032.6674564354453j),(3335.1031058667195+231.2974791212593j),(-1240.1788881655846-4.309054843844725j),(-4339.616752245114+1961.8300801058108j),(3246.641258655091+1247.3932675313158j),(282.94610722754237-1236.637281280019j),(2776.327664197861-4436.534992720804j),(-144.10048412308564-2196.334402689913j),(1655.6374442492536-3425.74155166828j),(2067.8568576183025-3529.0751423592096j),(553.2761893037813+2144.9491690677864j),(-1259.9026895181419-2061.2774291230808j),(-2293.390656170824-1711.6860493870438j),(-871.3733088398101+7389.978922552222j),(1871.341477786722+234.87285276908653j),(284.6096432227998+750.3575415637799j),(-3944.8740946010676-7784.835399158381j),(1611.3070647266518-3874.7718944293106j),(7716.177682564425-2626.320910318654j),(-1005.8584563769684-1097.8345222554653j),(3646.7599557072263+332.1603947803395j),(-3861.8613080615687-494.8931572462146j),(6636.428797440332-1383.1394759729073j),(1864.7013500695057+962.4036380424185j),(3798.614752866545+2525.273542854262j),(1299.8819638096147+1045.1928315925807j),(-1471.981363439893+1640.24162719563j),(-2500.510695520117-4085.7358701912112j),(6290.524054718087-1592.124255543271j),(-6108.305562910889+3111.529649499678j)
23,(26.88437300686286+0j),(5566.378066947808-7700.172295139204j),(-6981.187156380179+7233.941107451017j),(4500.009736546347+333.5660076279861j),(388.7863142118274+7696.277045628852j),(-7955.845061655788-4053.009708550229j),(-8962.184837496086+7838.303004275349j),(-2119.8560389078275-1330.3271868832514j),(4007.364786370227+1993.3700356259599j),(-2881.0180761021165+13611.928379385645j),(2920.0541035576534+3733.6971073849054j),(-13783.429237757602+11394.614919462365j),(6965.647550475783+2567.781002329523j),(2183.261893906718+1375.7950859641642j),(1724.9775049715906+1946.694737530248j),(-4384.466870435149-4373.602806588552j),(4293.354996226249-5845.373842107936j),(481.9381458920959-1860.987794136517j),(-3305.230358017037+2252.0064015941593j),(-2420.866765540095-4205.073638128488j),(-12331.316082791624+4035.561968730235j),(3334.6174560056043+237.24441152153383j),(-1242.672680392576-3.80318496464875j),(-4335.480373928429+1969.6591669068682j),(3247.8825580919183+1253.8317873833867j),(288.0259164587862-1232.0957843442982j),(2780.8709519667964-4438.179725608288j),(-140.31413683754568-2201.4207320449j),(1659.5311894793638-3423.7557950098376j),(2070.1310326649846-3532.3187524648574j),(546.519504957342+2144.1430819273983j),(-1260.0386270494992-2061.761351204778j),(-2301.9940022667397-1701.8699178907355j),(-875.6014472527365+7394.028082743811j),(1873.4115349532422+245.40669274923738j),(280.66882354302834+754.1008880610713j),(-3940.454318297896-7795.003452862382j),(1608.9388347660665-3879.507657795967j),(7732.359686610327-2630.0882722791025j),(-999.728436806686-1105.615582754641j),(3646.7121653311515+333.1895401329335j),(-3859.2907094791417-495.0132569856664j),(6651.162627190203-1385.2953705351144j),(1867.2787561203925+964.5705481207026j),(3799.6035973804665+2535.557778794252j),(1293.560504078743+1049.3708903568438j),(-1467.4069392216438+1647.769223112853j),(-2504.108607142917-4084.1300409968458j),(6290.46217049535-1586.9648762510683j),(-6113.2339360193055+3108.1198934022354j)
